"","comparison","k","direct","nma","indirect","p.value"
"1","ADA:APRE",0,NA,2.25615175289647,2.25615175289647,NA
"2","ADA:BIME",1,0.60262169696132,0.572999704657251,0.557911152396254,0.437083978242519
"3","ADA:BRODA",0,NA,0.719590404257362,0.719590404257362,NA
"4","ADA:CERTO",0,NA,1.30623094672399,1.30623094672399,NA
"5","ADA:CICLO",0,NA,2.47386877042172,2.47386877042172,NA
"6","ADA:DEUCRAVA",0,NA,1.23955047295837,1.23955047295837,NA
"7","ADA:ETA",0,NA,1.62822433465331,1.62822433465331,NA
"8","ADA:FUM",0,NA,3.98223548970748,3.98223548970748,NA
"9","ADA:GUSEL",3,0.688856923967516,0.71950676352649,0.790151529552309,0.0997948396924075
"10","ADA:IFX",0,NA,0.346033478424505,0.346033478424505,NA
"11","ADA:IXE",0,NA,0.574458391461011,0.574458391461011,NA
"12","ADA:MTX",0,NA,2.49799388156556,2.49799388156556,NA
"13","ADA:NETA",0,NA,3.86259567816087,3.86259567816087,NA
"14","ADA:PBO",8,15.3125565946791,17.3369559393637,18.079660225635,0.415987924513825
"15","ADA:RISAN",1,0.654031868662482,0.60331633333055,0.555742511400464,0.102146680375271
"16","ADA:SECU",0,NA,0.660428527009411,0.660428527009411,NA
"17","ADA:SONELO",0,NA,0.682338858149427,0.682338858149427,NA
"18","ADA:TILDRA",0,NA,0.93421835930741,0.93421835930741,NA
"19","ADA:USK",0,NA,0.917560752034663,0.917560752034663,NA
"20","APRE:BIME",0,NA,0.253972147007234,0.253972147007234,NA
"21","APRE:BRODA",0,NA,0.318945923443999,0.318945923443999,NA
"22","APRE:CERTO",0,NA,0.578964134414733,0.578964134414733,NA
"23","APRE:CICLO",0,NA,1.09649927902489,1.09649927902489,NA
"24","APRE:DEUCRAVA",0,NA,0.549409174877986,0.549409174877986,NA
"25","APRE:ETA",1,0.705882352941176,0.721682099868938,0.749491658862104,0.915567783112856
"26","APRE:FUM",0,NA,1.76505657679943,1.76505657679943,NA
"27","APRE:GUSEL",0,NA,0.318908851145664,0.318908851145664,NA
"28","APRE:IFX",0,NA,0.153373317189441,0.153373317189441,NA
"29","APRE:IXE",0,NA,0.254618684547046,0.254618684547046,NA
"30","APRE:MTX",0,NA,1.107192314683,1.107192314683,NA
"31","APRE:NETA",0,NA,1.71202831245816,1.71202831245816,NA
"32","APRE:PBO",5,6.95468136232025,7.68430399998864,8.70656094816142,0.684792849075256
"33","APRE:RISAN",0,NA,0.267409465057484,0.267409465057484,NA
"34","APRE:SECU",0,NA,0.292723450965364,0.292723450965364,NA
"35","APRE:SONELO",0,NA,0.302434823931251,0.302434823931251,NA
"36","APRE:TILDRA",0,NA,0.414076029286616,0.414076029286616,NA
"37","APRE:USK",0,NA,0.406692834760201,0.406692834760201,NA
"38","BIME:BRODA",0,NA,1.25583032313742,1.25583032313742,NA
"39","BIME:CERTO",0,NA,2.27963633507513,2.27963633507513,NA
"40","BIME:CICLO",0,NA,4.31739973042658,4.31739973042658,NA
"41","BIME:DEUCRAVA",0,NA,2.16326546572974,2.16326546572974,NA
"42","BIME:ETA",0,NA,2.84157971011043,2.84157971011043,NA
"43","BIME:FUM",0,NA,6.94980373871139,6.94980373871139,NA
"44","BIME:GUSEL",0,NA,1.25568435320028,1.25568435320028,NA
"45","BIME:IFX",0,NA,0.603898179374264,0.603898179374264,NA
"46","BIME:IXE",0,NA,1.00254570254034,1.00254570254034,NA
"47","BIME:MTX",0,NA,4.35950291293741,4.35950291293741,NA
"48","BIME:NETA",0,NA,6.74100814846203,6.74100814846203,NA
"49","BIME:PBO",3,25.5225794078455,30.2564832031356,30.4987293731159,0.6774206340187
"50","BIME:RISAN",0,NA,1.0529086287949,1.0529086287949,NA
"51","BIME:SECU",1,1.15067024128686,1.15258092044647,1.15832715869017,0.929038887928034
"52","BIME:SONELO",0,NA,1.19081886535627,1.19081886535627,NA
"53","BIME:TILDRA",0,NA,1.63039937318332,1.63039937318332,NA
"54","BIME:USK",1,1.71143417560863,1.6013284903585,1.56935818208736,0.355784215594518
"55","BRODA:CERTO",0,NA,1.81524230867427,1.81524230867427,NA
"56","BRODA:CICLO",0,NA,3.43788460183099,3.43788460183099,NA
"57","BRODA:DEUCRAVA",0,NA,1.72257782430774,1.72257782430774,NA
"58","BRODA:ETA",0,NA,2.26270990416233,2.26270990416233,NA
"59","BRODA:FUM",0,NA,5.53403084052692,5.53403084052692,NA
"60","BRODA:GUSEL",0,NA,0.999883766194799,0.999883766194799,NA
"61","BRODA:IFX",0,NA,0.480875615318441,0.480875615318441,NA
"62","BRODA:IXE",0,NA,0.798313023717802,0.798313023717802,NA
"63","BRODA:MTX",0,NA,3.47141077310996,3.47141077310996,NA
"64","BRODA:NETA",0,NA,5.36776985255546,5.36776985255546,NA
"65","BRODA:PBO",5,26.6006313016683,24.0928114616203,23.6223046229967,0.637537152282903
"66","BRODA:RISAN",0,NA,0.838416312614937,0.838416312614937,NA
"67","BRODA:SECU",0,NA,0.917783954736016,0.917783954736016,NA
"68","BRODA:SONELO",0,NA,0.948232291748831,0.948232291748831,NA
"69","BRODA:TILDRA",0,NA,1.29826405935964,1.29826405935964,NA
"70","BRODA:USK",2,1.27001668113815,1.27511532478203,1.47605149584106,0.590952988937163
"71","CERTO:CICLO",0,NA,1.89389845388838,1.89389845388838,NA
"72","CERTO:DEUCRAVA",0,NA,0.948952002758125,0.948952002758125,NA
"73","CERTO:ETA",1,1.19649122807018,1.24650571075266,1.86717681401056,0.361089393096918
"74","CERTO:FUM",0,NA,3.04864580011282,3.04864580011282,NA
"75","CERTO:GUSEL",0,NA,0.550826609437637,0.550826609437637,NA
"76","CERTO:IFX",0,NA,0.264909876230044,0.264909876230044,NA
"77","CERTO:IXE",0,NA,0.439783173796139,0.439783173796139,NA
"78","CERTO:MTX",0,NA,1.91236770789308,1.91236770789308,NA
"79","CERTO:NETA",0,NA,2.95705417778396,2.95705417778396,NA
"80","CERTO:PBO",5,19.7279593037411,13.2725043629112,12.4690971930551,0.335923210573863
"81","CERTO:RISAN",0,NA,0.461875700345073,0.461875700345073,NA
"82","CERTO:SECU",0,NA,0.505598591631715,0.505598591631715,NA
"83","CERTO:SONELO",0,NA,0.522372295542932,0.522372295542932,NA
"84","CERTO:TILDRA",0,NA,0.715201520566036,0.715201520566036,NA
"85","CERTO:USK",0,NA,0.702449099323434,0.702449099323434,NA
"86","CICLO:DEUCRAVA",0,NA,0.501057488488795,0.501057488488795,NA
"87","CICLO:ETA",0,NA,0.658169242492093,0.658169242492093,NA
"88","CICLO:FUM",0,NA,1.60971977872077,1.60971977872077,NA
"89","CICLO:GUSEL",0,NA,0.290842736740573,0.290842736740573,NA
"90","CICLO:IFX",0,NA,0.139875438245464,0.139875438245464,NA
"91","CICLO:IXE",0,NA,0.232210535307854,0.232210535307854,NA
"92","CICLO:MTX",2,1.00975197691619,1.0097519769166,NA,NA
"93","CICLO:NETA",0,NA,1.56135835673386,1.56135835673386,NA
"94","CICLO:PBO",0,NA,7.00803379170686,7.00803379170686,NA
"95","CICLO:RISAN",0,NA,0.243875641482673,0.243875641482673,NA
"96","CICLO:SECU",0,NA,0.266961827121019,0.266961827121019,NA
"97","CICLO:SONELO",0,NA,0.275818534235795,0.275818534235795,NA
"98","CICLO:TILDRA",0,NA,0.377634565938659,0.377634565938659,NA
"99","CICLO:USK",0,NA,0.370901141970536,0.370901141970536,NA
